"Intent","Mechanism","Sex","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","55 to 59","1,499","10,439,866","14.36","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","60 to 64","--","10,910,700","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","65 to 69","--","10,025,468","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","70 to 74","--","8,324,736","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","75 to 79","--","6,221,394","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","80 to 84","--","3,984,204","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","85+","--","3,911,019","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Natural / Environmental","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Males","0 to 4","25,789","9,459,399","272.63","--"
"Unintentional (Includes undetermined)","Overexertion","Males","5 to 9","24,833","10,304,720","240.98","--"
"Unintentional (Includes undetermined)","Overexertion","Males","10 to 14","90,047","10,667,918","844.09","--"
"Unintentional (Includes undetermined)","Overexertion","Males","15 to 19","119,166","11,296,635","1,054.88","--"
"Unintentional (Includes undetermined)","Overexertion","Males","20 to 24","84,681","11,126,811","761.05","--"
"Unintentional (Includes undetermined)","Overexertion","Males","25 to 29","72,548","11,175,898","649.15","--"
"Unintentional (Includes undetermined)","Overexertion","Males","30 to 34","83,047","11,883,289","698.86","--"
"Unintentional (Includes undetermined)","Overexertion","Males","35 to 39","73,684","11,364,080","648.39","--"
"Unintentional (Includes undetermined)","Overexertion","Males","40 to 44","71,417","10,998,156","649.36","--"
"Unintentional (Includes undetermined)","Overexertion","Males","45 to 49","58,452","9,886,355","591.24","--"
"Unintentional (Includes undetermined)","Overexertion","Males","50 to 54","55,205","10,300,754","535.93","--"
"Unintentional (Includes undetermined)","Overexertion","Males","55 to 59","50,957","10,166,391","501.23","--"
"Unintentional (Includes undetermined)","Overexertion","Males","60 to 64","42,159","10,337,454","407.83","--"
"Unintentional (Includes undetermined)","Overexertion","Males","65 to 69","34,656","9,125,260","379.78","--"
"Unintentional (Includes undetermined)","Overexertion","Males","70 to 74","24,513","7,209,820","339.99","--"
"Unintentional (Includes undetermined)","Overexertion","Males","75 to 79","16,091","5,166,023","311.47","--"
"Unintentional (Includes undetermined)","Overexertion","Males","80 to 84","11,361","2,996,476","379.16","--"
"Unintentional (Includes undetermined)","Overexertion","Males","85+","6,636","2,283,961","290.53","--"
"Unintentional (Includes undetermined)","Overexertion","Females","0 to 4","37,072","9,051,761","409.55","--"
"Unintentional (Includes undetermined)","Overexertion","Females","5 to 9","26,273","9,848,037","266.79","--"
"Unintentional (Includes undetermined)","Overexertion","Females","10 to 14","75,933","10,166,646","746.88","--"
"Unintentional (Includes undetermined)","Overexertion","Females","15 to 19","83,734","10,778,845","776.84","--"
"Unintentional (Includes undetermined)","Overexertion","Females","20 to 24","63,684","10,684,361","596.05","--"
"Unintentional (Includes undetermined)","Overexertion","Females","25 to 29","62,154","10,842,462","573.25","--"
"Unintentional (Includes undetermined)","Overexertion","Females","30 to 34","67,262","11,640,867","577.81","--"
"Unintentional (Includes undetermined)","Overexertion","Females","35 to 39","64,600","11,142,564","579.76","--"
"Unintentional (Includes undetermined)","Overexertion","Females","40 to 44","61,471","10,885,893","564.68","--"
"Unintentional (Includes undetermined)","Overexertion","Females","45 to 49","54,485","9,930,655","548.66","--"
"Unintentional (Includes undetermined)","Overexertion","Females","50 to 54","54,884","10,376,017","528.95","--"
"Unintentional (Includes undetermined)","Overexertion","Females","55 to 59","48,539","10,439,866","464.94","--"
"Unintentional (Includes undetermined)","Overexertion","Females","60 to 64","47,481","10,910,700","435.18","--"
"Unintentional (Includes undetermined)","Overexertion","Females","65 to 69","39,550","10,025,468","394.50","--"
"Unintentional (Includes undetermined)","Overexertion","Females","70 to 74","31,010","8,324,736","372.50","--"
"Unintentional (Includes undetermined)","Overexertion","Females","75 to 79","26,229","6,221,394","421.59","--"
"Unintentional (Includes undetermined)","Overexertion","Females","80 to 84","16,591","3,984,204","416.42","--"
"Unintentional (Includes undetermined)","Overexertion","Females","85+","14,245","3,911,019","364.23","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","5 to 9","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Overexertion","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Males","0 to 4","24,326","9,459,399","257.17","--"
"Unintentional (Includes undetermined)","Poisoning","Males","5 to 9","5,139","10,304,720","49.87","--"
"Unintentional (Includes undetermined)","Poisoning","Males","10 to 14","7,143","10,667,918","66.96","--"
"Unintentional (Includes undetermined)","Poisoning","Males","15 to 19","44,302","11,296,635","392.17","--"
"Unintentional (Includes undetermined)","Poisoning","Males","20 to 24","72,653","11,126,811","652.95","--"
"Unintentional (Includes undetermined)","Poisoning","Males","25 to 29","101,614","11,175,898","909.22","--"
"Unintentional (Includes undetermined)","Poisoning","Males","30 to 34","145,324","11,883,289","1,222.93","--"
"Unintentional (Includes undetermined)","Poisoning","Males","35 to 39","145,332","11,364,080","1,278.87","--"
"Unintentional (Includes undetermined)","Poisoning","Males","40 to 44","126,253","10,998,156","1,147.95","--"
"Unintentional (Includes undetermined)","Poisoning","Males","45 to 49","101,504","9,886,355","1,026.71","--"
"Unintentional (Includes undetermined)","Poisoning","Males","50 to 54","105,402","10,300,754","1,023.25","--"
"Unintentional (Includes undetermined)","Poisoning","Males","55 to 59","98,092","10,166,391","964.86","--"
"Unintentional (Includes undetermined)","Poisoning","Males","60 to 64","98,349","10,337,454","951.38","--"
"Unintentional (Includes undetermined)","Poisoning","Males","65 to 69","48,559","9,125,260","532.14","--"
"Unintentional (Includes undetermined)","Poisoning","Males","70 to 74","25,013","7,209,820","346.93","--"
"Unintentional (Includes undetermined)","Poisoning","Males","75 to 79","10,958","5,166,023","212.11","--"
"Unintentional (Includes undetermined)","Poisoning","Males","80 to 84","5,473","2,996,476","182.66","--"
"Unintentional (Includes undetermined)","Poisoning","Males","85+","4,020","2,283,961","176.01","--"
"Unintentional (Includes undetermined)","Poisoning","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Females","0 to 4","19,005","9,051,761","209.96","--"
"Unintentional (Includes undetermined)","Poisoning","Females","5 to 9","3,154","9,848,037","32.02","--"
"Unintentional (Includes undetermined)","Poisoning","Females","10 to 14","12,288","10,166,646","120.86","--"
"Unintentional (Includes undetermined)","Poisoning","Females","15 to 19","48,722","10,778,845","452.01","--"
"Unintentional (Includes undetermined)","Poisoning","Females","20 to 24","58,629","10,684,361","548.74","--"
"Unintentional (Includes undetermined)","Poisoning","Females","25 to 29","56,706","10,842,462","523.00","--"
"Unintentional (Includes undetermined)","Poisoning","Females","30 to 34","72,953","11,640,867","626.70","--"
"Unintentional (Includes undetermined)","Poisoning","Females","35 to 39","68,440","11,142,564","614.22","--"
"Unintentional (Includes undetermined)","Poisoning","Females","40 to 44","57,233","10,885,893","525.75","--"
"Unintentional (Includes undetermined)","Poisoning","Females","45 to 49","41,815","9,930,655","421.07","--"
"Unintentional (Includes undetermined)","Poisoning","Females","50 to 54","44,442","10,376,017","428.32","--"
"Unintentional (Includes undetermined)","Poisoning","Females","55 to 59","39,880","10,439,866","382.00","--"
"Unintentional (Includes undetermined)","Poisoning","Females","60 to 64","34,711","10,910,700","318.14","--"
"Unintentional (Includes undetermined)","Poisoning","Females","65 to 69","25,518","10,025,468","254.53","--"
"Unintentional (Includes undetermined)","Poisoning","Females","70 to 74","15,948","8,324,736","191.58","--"
"Unintentional (Includes undetermined)","Poisoning","Females","75 to 79","10,367","6,221,394","166.63","--"
"Unintentional (Includes undetermined)","Poisoning","Females","80 to 84","6,192","3,984,204","155.42","--"
"Unintentional (Includes undetermined)","Poisoning","Females","85+","5,597","3,911,019","143.11","--"
"Unintentional (Includes undetermined)","Poisoning","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","50 to 54","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Poisoning","Unknown","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","0 to 4","143,294","9,459,399","1,514.84","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","5 to 9","163,835","10,304,720","1,589.90","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","10 to 14","229,880","10,667,918","2,154.87","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","15 to 19","223,980","11,296,635","1,982.72","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","20 to 24","148,572","11,126,811","1,335.26","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","25 to 29","123,815","11,175,898","1,107.88","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","30 to 34","123,237","11,883,289","1,037.06","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","35 to 39","105,707","11,364,080","930.19","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","40 to 44","91,625","10,998,156","833.09","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","45 to 49","76,871","9,886,355","777.55","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","50 to 54","69,069","10,300,754","670.53","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","55 to 59","69,429","10,166,391","682.93","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","60 to 64","59,088","10,337,454","571.59","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","65 to 69","48,043","9,125,260","526.49","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","70 to 74","34,349","7,209,820","476.42","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","75 to 79","26,529","5,166,023","513.53","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","80 to 84","19,098","2,996,476","637.35","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","85+","16,711","2,283,961","731.66","--"
"Unintentional (Includes undetermined)","Struck by /Against","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","0 to 4","94,489","9,051,761","1,043.87","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","5 to 9","96,502","9,848,037","979.91","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","10 to 14","109,071","10,166,646","1,072.83","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","15 to 19","114,875","10,778,845","1,065.75","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","20 to 24","88,833","10,684,361","831.43","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","25 to 29","74,739","10,842,462","689.32","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","30 to 34","74,043","11,640,867","636.06","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","35 to 39","64,787","11,142,564","581.44","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","40 to 44","60,199","10,885,893","553.00","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","45 to 49","48,079","9,930,655","484.15","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","50 to 54","56,329","10,376,017","542.87","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","55 to 59","49,184","10,439,866","471.12","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","60 to 64","47,646","10,910,700","436.69","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","65 to 69","43,994","10,025,468","438.82","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","70 to 74","32,205","8,324,736","386.86","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","75 to 79","29,168","6,221,394","468.83","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","80 to 84","22,162","3,984,204","556.25","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","85+","28,694","3,911,019","733.66","--"
"Unintentional (Includes undetermined)","Struck by /Against","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","5 to 9","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Struck by /Against","Unknown","65 to 69","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","0 to 4","15,112","9,459,399","159.75","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","5 to 9","24,779","10,304,720","240.46","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","10 to 14","27,517","10,667,918","257.94","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","15 to 19","104,138","11,296,635","921.85","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","20 to 24","141,666","11,126,811","1,273.20","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","25 to 29","121,536","11,175,898","1,087.48","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","30 to 34","122,851","11,883,289","1,033.82","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","35 to 39","106,137","11,364,080","933.97","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","40 to 44","80,938","10,998,156","735.92","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","45 to 49","71,165","9,886,355","719.83","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","50 to 54","69,726","10,300,754","676.90","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","55 to 59","62,057","10,166,391","610.41","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","60 to 64","58,848","10,337,454","569.27","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","65 to 69","38,213","9,125,260","418.76","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","70 to 74","28,045","7,209,820","388.98","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","75 to 79","21,243","5,166,023","411.21","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","80 to 84","13,097","2,996,476","437.09","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","85+","9,217","2,283,961","403.56","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","0 to 4","14,499","9,051,761","160.18","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","5 to 9","26,734","9,848,037","271.46","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","10 to 14","33,466","10,166,646","329.18","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","15 to 19","113,187","10,778,845","1,050.09","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","20 to 24","153,203","10,684,361","1,433.90","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","25 to 29","135,158","10,842,462","1,246.57","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","30 to 34","124,022","11,640,867","1,065.40","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","35 to 39","107,087","11,142,564","961.06","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","40 to 44","89,273","10,885,893","820.08","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","45 to 49","71,048","9,930,655","715.45","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","50 to 54","69,762","10,376,017","672.34","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","55 to 59","66,426","10,439,866","636.27","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","60 to 64","62,728","10,910,700","574.92","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","65 to 69","44,506","10,025,468","443.93","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","70 to 74","32,949","8,324,736","395.80","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","75 to 79","25,924","6,221,394","416.70","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","80 to 84","15,771","3,984,204","395.84","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","85+","11,792","3,911,019","301.49","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Motor Vehicle Occupant","Unknown","70 to 74","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","0 to 4","--","9,459,399","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","5 to 9","4,425","10,304,720","42.95","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","10 to 14","12,703","10,667,918","119.08","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","15 to 19","29,017","11,296,635","256.86","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","20 to 24","39,473","11,126,811","354.76","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","25 to 29","32,970","11,175,898","295.01","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","30 to 34","31,714","11,883,289","266.88","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","35 to 39","24,989","11,364,080","219.89","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","40 to 44","22,780","10,998,156","207.13","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","45 to 49","17,055","9,886,355","172.51","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","50 to 54","16,238","10,300,754","157.64","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","55 to 59","15,387","10,166,391","151.35","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","60 to 64","14,263","10,337,454","137.97","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","65 to 69","9,177","9,125,260","100.57","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","70 to 74","3,523","7,209,820","48.86","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","75 to 79","2,127","5,166,023","41.18","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","80 to 84","--","2,996,476","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","85+","--","2,283,961","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","0 to 4","--","9,051,761","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","5 to 9","--","9,848,037","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","10 to 14","1,718","10,166,646","16.90","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","15 to 19","3,546","10,778,845","32.90","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","20 to 24","4,333","10,684,361","40.55","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","25 to 29","4,353","10,842,462","40.15","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","30 to 34","5,291","11,640,867","45.46","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","35 to 39","3,852","11,142,564","34.57","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","40 to 44","3,602","10,885,893","33.09","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","45 to 49","3,328","9,930,655","33.51","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","50 to 54","3,698","10,376,017","35.64","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","55 to 59","2,563","10,439,866","24.55","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","60 to 64","2,231","10,910,700","20.45","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","65 to 69","1,619","10,025,468","16.15","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","70 to 74","--","8,324,736","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","75 to 79","--","6,221,394","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","80 to 84","--","3,984,204","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Females","85+","--","3,911,019","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Motorcyclist","Unknown","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","0 to 4","8,421","9,459,399","89.02","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","5 to 9","21,244","10,304,720","206.16","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","10 to 14","40,626","10,667,918","380.83","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","15 to 19","21,549","11,296,635","190.76","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","20 to 24","15,684","11,126,811","140.96","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","25 to 29","15,260","11,175,898","136.54","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","30 to 34","18,259","11,883,289","153.65","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","35 to 39","16,614","11,364,080","146.20","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","40 to 44","15,443","10,998,156","140.41","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","45 to 49","13,601","9,886,355","137.58","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","50 to 54","15,018","10,300,754","145.79","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","55 to 59","15,258","10,166,391","150.08","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","60 to 64","15,296","10,337,454","147.96","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","65 to 69","11,689","9,125,260","128.09","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","70 to 74","7,881","7,209,820","109.31","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","75 to 79","--","5,166,023","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","80 to 84","--","2,996,476","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","85+","--","2,283,961","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","0 to 4","3,994","9,051,761","44.13","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","5 to 9","12,374","9,848,037","125.65","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","10 to 14","10,397","10,166,646","102.26","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","15 to 19","4,499","10,778,845","41.74","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","20 to 24","3,988","10,684,361","37.32","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","25 to 29","3,263","10,842,462","30.10","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","30 to 34","4,152","11,640,867","35.67","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","35 to 39","4,984","11,142,564","44.73","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","40 to 44","3,161","10,885,893","29.04","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","45 to 49","3,766","9,930,655","37.93","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","50 to 54","4,299","10,376,017","41.43","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","55 to 59","4,547","10,439,866","43.55","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","60 to 64","5,456","10,910,700","50.01","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","65 to 69","4,580","10,025,468","45.69","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","70 to 74","2,987","8,324,736","35.88","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","75 to 79","--","6,221,394","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","80 to 84","--","3,984,204","--","--"
"Unintentional (Includes undetermined)","Pedal cyclist (bicycle, etc.)","Females","85+","--","3,911,019","--","--"
